Bigram	Bigram Count	Uni Count	Bigram Prob
around the	10	14	0.7142857142857143
the texas	4	3676	0.001088139281828074
texas city	1	58	0.017241379310344827
city .	5	52	0.09615384615384616
october ,	7	19	0.3684210526315789
the chinese	7	3676	0.0019042437431991295
chinese government	2	9	0.2222222222222222
government chose	1	68	0.014705882352941176
chose gm	1	4	0.25
gm as	1	18	0.05555555555555555
the partner	1	3676	0.0002720348204570185
partner for	1	9	0.1111111111111111
country 's	6	28	0.21428571428571427
largest auto-making	1	36	0.027777777777777776
auto-making plant	1	1	1.0
, to	58	3842	0.015096304008328995
be built	17	249	0.06827309236947791
built in	12	45	0.26666666666666666
in shanghai	2	1651	0.0012113870381586917
shanghai .	1	2	0.5
